Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""Page_Qlue Smart City  Cart/p_Custom Plan""), 0)",Chrome 98.0.4758.82,,,2022-02-11 23:17:21,2022-02-11 23:17:21,0.518s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Cart/path""))",Chrome 98.0.4758.82,,,2022-02-11 23:17:21,2022-02-11 23:17:53,31.512s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Cart/button_ADD_1_2""))",Chrome 98.0.4758.82,,,2022-02-11 23:17:53,2022-02-11 23:17:53,0.524s,PASSED
"verifyElementPresent(findTestObject(""Page_Qlue Smart City  Cart/p_Custom Plan""), 0)",Chrome 98.0.4758.82,,,2022-02-11 23:17:53,2022-02-11 23:17:54,0.494s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Cart/svg""))",Chrome 98.0.4758.82,,,2022-02-11 23:17:54,2022-02-11 23:17:54,0.456s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Cart/button_ADD_1_2_3""))",Chrome 98.0.4758.82,,,2022-02-11 23:17:54,2022-02-11 23:17:57,2.583s,PASSED
"verifyElementPresent(findTestObject(""Page_Qlue Smart City  Cart/p_Custom Plan""), 0)",Chrome 98.0.4758.82,,,2022-02-11 23:17:57,2022-02-11 23:17:57,0.424s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Cart/path""))",Chrome 98.0.4758.82,,,2022-02-11 23:17:57,2022-02-11 23:18:29,31.572s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Cart/button_ADD_1_2_3_4""))",Chrome 98.0.4758.82,,,2022-02-11 23:18:29,2022-02-11 23:18:29,0.541s,PASSED
"verifyElementPresent(findTestObject(""Page_Qlue Smart City  Cart/p_Custom Plan""), 0)",Chrome 98.0.4758.82,,,2022-02-11 23:18:29,2022-02-11 23:18:30,0.527s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Cart/path""))",Chrome 98.0.4758.82,,,2022-02-11 23:18:30,2022-02-11 23:19:01,31.533s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Cart/button_ADD_1_2_3_4_5""))",Chrome 98.0.4758.82,,,2022-02-11 23:19:01,2022-02-11 23:19:02,0.521s,PASSED
"verifyElementPresent(findTestObject(""Page_Qlue Smart City  Cart/p_Custom Plan""), 0)",Chrome 98.0.4758.82,,,2022-02-11 23:19:02,2022-02-11 23:19:03,0.525s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Cart/svg""))",Chrome 98.0.4758.82,,,2022-02-11 23:19:03,2022-02-11 23:19:03,0.432s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Cart/button_ADD_1_2_3_4_5_6""))",Chrome 98.0.4758.82,,,2022-02-11 23:19:03,2022-02-11 23:19:06,2.676s,PASSED
"verifyElementPresent(findTestObject(""Page_Qlue Smart City  Cart/p_Custom Plan""), 0)",Chrome 98.0.4758.82,,,2022-02-11 23:19:06,2022-02-11 23:19:06,0.465s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Cart/path""))",Chrome 98.0.4758.82,,,2022-02-11 23:19:06,2022-02-11 23:19:38,31.600s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Cart/button_ADD_1_2_3_4_5_6_7""))",Chrome 98.0.4758.82,,,2022-02-11 23:19:38,2022-02-11 23:19:38,0.510s,PASSED
"verifyElementPresent(findTestObject(""Page_Qlue Smart City  Cart/p_Custom Plan""), 0)",Chrome 98.0.4758.82,,,2022-02-11 23:19:38,2022-02-11 23:19:39,0.439s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Cart/svg""))",Chrome 98.0.4758.82,,,2022-02-11 23:19:39,2022-02-11 23:19:39,0.422s,PASSED
closeBrowser(),Chrome 98.0.4758.82,,,2022-02-11 23:19:39,2022-02-11 23:19:40,0.816s,PASSED
